"Town","FIPS","Year","Year Submitted","Town Profile Year","Variable","Measure Type","Value"
"Andover","0901301080","2009","2010","2016","Net Grand List","Number","275587542"
"Andover","0901301080","2009","2010","2017","Net Grand List","Number","275587542"
"Andover","901301080","2017","2018","2018","Net Grand List","Number","260897900"
"Andover","0901301080","2009","2010","2016","Top 10 Total Grand List","Number","9047760"
"Andover","0901301080","2009","2010","2017","Top 10 Total Grand List","Number","9047760"
"Andover","901301080","2017","2018","2018","Top 10 Total Grand List","Number","5975210"
"Andover","0901301080","2009","2010","2016","Total Grand List","Number","277124550"
"Andover","0901301080","2009","2010","2017","Total Grand List","Number","277124550"
"Andover","901301080","2017","2018","2018","Total Grand List","Number","261097900"
"Ansonia","0900901220","2014","2015","2016","Net Grand List","Number","894130365"
"Ansonia","0900901220","2015","2015","2017","Net Grand List","Number",-666666
"Ansonia","0900901220","2015","2015","2018","Net Grand List","Number",-666666
"Ansonia","0900901220","2014","2015","2016","Top 10 Total Grand List","Number","66739130"
"Ansonia","0900901220","2015","2015","2017","Top 10 Total Grand List","Number","63546715"
"Ansonia","0900901220","2015","2015","2018","Top 10 Total Grand List","Number","63546715"
"Ansonia","0900901220","2014","2015","2016","Total Grand List","Number","1027835763"
"Ansonia","0900901220","2015","2015","2017","Total Grand List","Number",-666666
"Ansonia","0900901220","2015","2015","2018","Total Grand List","Number",-666666
"Ashford","0901501430","2014","2015","2016","Net Grand List","Number","297739652"
"Ashford","0901501430","2016","2017","2017","Net Grand List","Number","297213786"
"Ashford","901501430","2017","2018","2018","Net Grand List","Number","301252224"
"Ashford","0901501430","2014","2015","2016","Top 10 Total Grand List","Number","17317090"
"Ashford","0901501430","2016","2017","2017","Top 10 Total Grand List","Number","18323126"
"Ashford","901501430","2017","2018","2018","Top 10 Total Grand List","Number","18830586"
"Ashford","0901501430","2014","2015","2016","Total Grand List","Number","301066933"
"Ashford","0901501430","2016","2017","2017","Total Grand List","Number","338012326"
"Ashford","901501430","2017","2018","2018","Total Grand List","Number","305593481"
"Avon","0900302060","2014","2014","2016","Net Grand List","Number","2578884230"
"Avon","0900302060","2016","2017","2017","Net Grand List","Number","2611868210"
"Avon","0900302060","2016","2017","2018","Net Grand List","Number","2611868210"
"Avon","0900302060","2014","2014","2016","Top 10 Total Grand List","Number","125794480"
"Avon","0900302060","2016","2017","2017","Top 10 Total Grand List","Number","124744610"
"Avon","0900302060","2016","2017","2018","Top 10 Total Grand List","Number","124744610"
"Avon","0900302060","2014","2014","2016","Total Grand List","Number","2606515660"
"Avon","0900302060","2016","2017","2017","Total Grand List","Number","2643403860"
"Avon","0900302060","2016","2017","2018","Total Grand List","Number","2643403860"
"Barkhamsted","0900502760","2014","2014","2016","Net Grand List","Number","341702725"
"Barkhamsted","0900502760","2016","2017","2017","Net Grand List","Number","347305740"
"Barkhamsted","900502760","2017","2018","2018","Net Grand List","Number","352240410"
"Barkhamsted","0900502760","2014","2014","2016","Top 10 Total Grand List","Number","48583460"
"Barkhamsted","0900502760","2016","2017","2017","Top 10 Total Grand List","Number","48061170"
"Barkhamsted","900502760","2017","2018","2018","Top 10 Total Grand List","Number","50095950"
"Barkhamsted","0900502760","2014","2014","2016","Total Grand List","Number","347938605"
"Barkhamsted","0900502760","2016","2017","2017","Total Grand List","Number","353419590"
"Barkhamsted","900502760","2017","2018","2018","Total Grand List","Number","358710930"
"Beacon Falls","0900903250","2013","2014","2016","Net Grand List","Number","475004584"
"Beacon Falls","0900903250","2016","2014","2017","Net Grand List","Number","464422191"
"Beacon Falls","900903250","2017","2018","2018","Net Grand List","Number","472959356"
"Beacon Falls","0900903250","2013","2014","2016","Top 10 Total Grand List","Number","41750550"
