"Town","FIPS","Year","Year Submitted","Town Profile Year","Variable","Measure Type","Value"
"Andover","0901301080",2009,2010,2016,"Net Grand List","Number",275587542
"Andover","0901301080",2009,2010,2016,"Top 10 Total Grand List","Number",9047760
"Andover","0901301080",2009,2010,2016,"Total Grand List","Number",277124550
"Andover","0901301080",2009,2010,2017,"Net Grand List","Number",275587542
"Andover","0901301080",2009,2010,2017,"Top 10 Total Grand List","Number",9047760
"Andover","0901301080",2009,2010,2017,"Total Grand List","Number",277124550
"Ansonia","0900901220",2014,2015,2016,"Net Grand List","Number",894130365
"Ansonia","0900901220",2014,2015,2016,"Top 10 Total Grand List","Number",66739130
"Ansonia","0900901220",2014,2015,2016,"Total Grand List","Number",1027835763
"Ansonia","0900901220",2015,2015,2017,"Net Grand List","Number",-666666
"Ansonia","0900901220",2015,2015,2017,"Top 10 Total Grand List","Number",63546715
"Ansonia","0900901220",2015,2015,2017,"Total Grand List","Number",-666666
"Ashford","0901501430",2014,2015,2016,"Net Grand List","Number",297739652
"Ashford","0901501430",2014,2015,2016,"Top 10 Total Grand List","Number",17317090
"Ashford","0901501430",2014,2015,2016,"Total Grand List","Number",301066933
"Ashford","0901501430",2016,2017,2017,"Net Grand List","Number",297213786
"Ashford","0901501430",2016,2017,2017,"Top 10 Total Grand List","Number",18323126
"Ashford","0901501430",2016,2017,2017,"Total Grand List","Number",338012326
"Avon","0900302060",2014,2014,2016,"Net Grand List","Number",2578884230
"Avon","0900302060",2014,2014,2016,"Top 10 Total Grand List","Number",125794480
"Avon","0900302060",2014,2014,2016,"Total Grand List","Number",2606515660
"Avon","0900302060",2016,2017,2017,"Net Grand List","Number",2611868210
"Avon","0900302060",2016,2017,2017,"Top 10 Total Grand List","Number",124744610
"Avon","0900302060",2016,2017,2017,"Total Grand List","Number",2643403860
"Barkhamsted","0900502760",2014,2014,2016,"Net Grand List","Number",341702725
"Barkhamsted","0900502760",2014,2014,2016,"Top 10 Total Grand List","Number",48583460
"Barkhamsted","0900502760",2014,2014,2016,"Total Grand List","Number",347938605
"Barkhamsted","0900502760",2016,2017,2017,"Net Grand List","Number",347305740
"Barkhamsted","0900502760",2016,2017,2017,"Top 10 Total Grand List","Number",48061170
"Barkhamsted","0900502760",2016,2017,2017,"Total Grand List","Number",353419590
"Beacon Falls","0900903250",2013,2014,2016,"Net Grand List","Number",475004584
"Beacon Falls","0900903250",2013,2014,2016,"Top 10 Total Grand List","Number",41750550
"Beacon Falls","0900903250",2013,2014,2016,"Total Grand List","Number",522448654
"Beacon Falls","0900903250",2016,2014,2017,"Net Grand List","Number",464422191
"Beacon Falls","0900903250",2016,2014,2017,"Top 10 Total Grand List","Number",0
"Beacon Falls","0900903250",2016,2014,2017,"Total Grand List","Number",473540987
"Berlin","0900304300",2009,2010,2016,"Net Grand List","Number",2277715548
"Berlin","0900304300",2009,2010,2016,"Top 10 Total Grand List","Number",270222340
"Berlin","0900304300",2009,2010,2016,"Total Grand List","Number",2339805500
"Berlin","0900304300",2009,2010,2017,"Net Grand List","Number",2277715548
"Berlin","0900304300",2009,2010,2017,"Top 10 Total Grand List","Number",270222340
"Berlin","0900304300",2009,2010,2017,"Total Grand List","Number",2339805500
"Bethany","0900904580",2009,2010,2016,"Net Grand List","Number",615225920
"Bethany","0900904580",2009,2010,2016,"Top 10 Total Grand List","Number",46377892
"Bethany","0900904580",2009,2010,2016,"Total Grand List","Number",663896759
"Bethany","0900904580",2015,2010,2017,"Net Grand List","Number",553053288
"Bethany","0900904580",2015,2010,2017,"Top 10 Total Grand List","Number",37033989
"Bethany","0900904580",2015,2010,2017,"Total Grand List","Number",596757147
"Bethel","0900104720",2013,2013,2016,"Net Grand List","Number",1865157340
"Bethel","0900104720",2013,2013,2016,"Top 10 Total Grand List","Number",201283220
"Bethel","0900104720",2013,2013,2016,"Total Grand List","Number",1992601080
"Bethel","0900104720",2016,2017,2017,"Net Grand List","Number",1943534080
"Bethel","0900104720",2016,2017,2017,"Top 10 Total Grand List","Number",217476880
"Bethel","0900104720",2016,2017,2017,"Total Grand List","Number",1970716200
"Bethlehem","0900504930",2012,2013,2016,"Net Grand List","Number",407011169
"Bethlehem","0900504930",2012,2013,2016,"Top 10 Total Grand List","Number",13453364
"Bethlehem","0900504930",2012,2013,2016,"Total Grand List","Number",411307912
"Bethlehem","0900504930",2016,2017,2017,"Net Grand List","Number",374076301
"Bethlehem","0900504930",2016,2017,2017,"Top 10 Total Grand List","Number",15508440
"Bethlehem","0900504930",2016,2017,2017,"Total Grand List","Number",377710814
"Bloomfield","0900305910",2014,2015,2016,"Net Grand List","Number",2034013740
"Bloomfield","0900305910",2014,2015,2016,"Top 10 Total Grand List","Number",405730410
"Bloomfield","0900305910",2014,2015,2016,"Total Grand List","Number",2155160790
"Bloomfield","0900305910",2014,2015,2017,"Net Grand List","Number",2034013740
"Bloomfield","0900305910",2014,2015,2017,"Top 10 Total Grand List","Number",405730410
"Bloomfield","0900305910",2014,2015,2017,"Total Grand List","Number",2155160790
"Bolton","0901306260",2013,2010,2016,"Net Grand List","Number",427447825
"Bolton","0901306260",2013,2010,2016,"Top 10 Total Grand List","Number",12893090
"Bolton","0901306260",2013,2010,2016,"Total Grand List","Number",486569370
"Bolton","0901306260",2015,2017,2017,"Net Grand List","Number",429848968
"Bolton","0901306260",2015,2017,2017,"Top 10 Total Grand List","Number",1332379
"Bolton","0901306260",2015,2017,2017,"Total Grand List","Number",434870028
"Bozrah","0901106820",2009,2010,2016,"Net Grand List","Number",241585389
"Bozrah","0901106820",2009,2010,2016,"Top 10 Total Grand List","Number",24277478
"Bozrah","0901106820",2009,2010,2016,"Total Grand List","Number",251571723
"Bozrah","0901106820",2016,2017,2017,"Net Grand List","Number",222525091
"Bozrah","0901106820",2016,2017,2017,"Top 10 Total Grand List","Number",28087750
"Bozrah","0901106820",2016,2017,2017,"Total Grand List","Number",236236791
"Branford","0900907310",2014,2015,2016,"Net Grand List","Number",348568401
"Branford","0900907310",2014,2015,2016,"Top 10 Total Grand List","Number",174923250
"Branford","0900907310",2014,2015,2016,"Total Grand List","Number",3517174206
"Branford","0900907310",2014,2015,2017,"Net Grand List","Number",348568401
"Branford","0900907310",2014,2015,2017,"Top 10 Total Grand List","Number",174923250
"Branford","0900907310",2014,2015,2017,"Total Grand List","Number",3517174206
"Bridgeport","0900108070",2013,2014,2016,"Net Grand List","Number",6986770884
"Bridgeport","0900108070",2013,2014,2016,"Top 10 Total Grand List","Number",819139636
"Bridgeport","0900108070",2013,2014,2016,"Total Grand List","Number",7111368339
"Bridgeport","0900108070",2013,2014,2017,"Net Grand List","Number",6986770884
"Bridgeport","0900108070",2013,2014,2017,"Top 10 Total Grand List","Number",819139636
"Bridgeport","0900108070",2013,2014,2017,"Total Grand List","Number",7111368339
"Bridgewater","0900508210",2014,2015,2016,"Net Grand List","Number",390959584
"Bridgewater","0900508210",2014,2015,2016,"Top 10 Total Grand List","Number",28060130
"Bridgewater","0900508210",2014,2015,2016,"Total Grand List","Number",434071454
"Bridgewater","0900508210",2016,2017,2017,"Net Grand List","Number",368053801
"Bridgewater","0900508210",2016,2017,2017,"Top 10 Total Grand List","Number",29894340
"Bridgewater","0900508210",2016,2017,2017,"Total Grand List","Number",407303011
"Bristol","0900308490",2014,2015,2016,"Net Grand List","Number",3824272002
"Bristol","0900308490",2014,2015,2016,"Top 10 Total Grand List","Number",428106932
"Bristol","0900308490",2014,2015,2016,"Total Grand List","Number",4136272964
"Bristol","0900308490",2016,2017,2017,"Net Grand List","Number",3911459729
"Bristol","0900308490",2016,2017,2017,"Top 10 Total Grand List","Number",471843661
"Bristol","0900308490",2016,2017,2017,"Total Grand List","Number",4204366433
"Brookfield","0900108980",2014,2015,2016,"Net Grand List","Number",2240190086
"Brookfield","0900108980",2014,2015,2016,"Top 10 Total Grand List","Number",155037970
"Brookfield","0900108980",2014,2015,2016,"Total Grand List","Number",2202971242
"Brookfield","0900108980",2016,2017,2017,"Net Grand List","Number",2234572679
"Brookfield","0900108980",2016,2017,2017,"Top 10 Total Grand List","Number",160821880
"Brookfield","0900108980",2016,2017,2017,"Total Grand List","Number",2378732639
"Brooklyn","0901509190",2013,2014,2016,"Net Grand List","Number",549699585
"Brooklyn","0901509190",2013,2014,2016,"Top 10 Total Grand List","Number",42016185
"Brooklyn","0901509190",2013,2014,2016,"Total Grand List","Number",554097054
"Brooklyn","0901509190",2016,2017,2017,"Net Grand List","Number",549080945
"Brooklyn","0901509190",2016,2017,2017,"Top 10 Total Grand List","Number",66485560
"Brooklyn","0901509190",2016,2017,2017,"Total Grand List","Number",554580323
"Burlington","0900310100",2013,2014,2016,"Net Grand List","Number",885507753
"Burlington","0900310100",2013,2014,2016,"Top 10 Total Grand List","Number",43670320
"Burlington","0900310100",2013,2014,2016,"Total Grand List","Number",933922723
"Burlington","0900310100",2016,2017,2017,"Net Grand List","Number",916684555
"Burlington","0900310100",2016,2017,2017,"Top 10 Total Grand List","Number",43543051
"Burlington","0900310100",2016,2017,2017,"Total Grand List","Number",918957275
"Canaan","0900510940",2014,2015,2016,"Net Grand List","Number",172375780
"Canaan","0900510940",2014,2015,2016,"Top 10 Total Grand List","Number",29074270
"Canaan","0900510940",2014,2015,2016,"Total Grand List","Number",174563000
"Canaan","0900510940",2016,2017,2017,"Net Grand List","Number",170797000
"Canaan","0900510940",2016,2017,2017,"Top 10 Total Grand List","Number",28518080
"Canaan","0900510940",2016,2017,2017,"Total Grand List","Number",-666666
"Canterbury","0901512130",2014,2015,2016,"Net Grand List","Number",392665406
"Canterbury","0901512130",2014,2015,2016,"Top 10 Total Grand List","Number",17729833
"Canterbury","0901512130",2014,2015,2016,"Total Grand List","Number",398417446
"Canterbury","0901512130",2016,2017,2017,"Net Grand List","Number",359148542
"Canterbury","0901512130",2016,2017,2017,"Top 10 Total Grand List","Number",37211562
"Canterbury","0901512130",2016,2017,2017,"Total Grand List","Number",364859132
"Canton","0900312270",2009,2010,2016,"Net Grand List","Number",1113674883
"Canton","0900312270",2009,2010,2016,"Top 10 Total Grand List","Number",82881230
"Canton","0900312270",2009,2010,2016,"Total Grand List","Number",1115562103
"Canton","0900312270",2014,2017,2017,"Net Grand List","Number",1100809523
"Canton","0900312270",2014,2017,2017,"Top 10 Total Grand List","Number",84167940
"Canton","0900312270",2014,2017,2017,"Total Grand List","Number",1103048233
"Chaplin","0901513810",2014,2015,2016,"Net Grand List","Number",157475810
"Chaplin","0901513810",2014,2015,2016,"Top 10 Total Grand List","Number",20339690
"Chaplin","0901513810",2014,2015,2016,"Total Grand List","Number",158357330
"Chaplin","0901513810",2016,2017,2017,"Net Grand List","Number",188671260
"Chaplin","0901513810",2016,2017,2017,"Top 10 Total Grand List","Number",51425480
"Chaplin","0901513810",2016,2017,2017,"Total Grand List","Number",189754940
"Cheshire","0900914160",2014,2015,2016,"Net Grand List","Number",2726793817
"Cheshire","0900914160",2014,2015,2016,"Top 10 Total Grand List","Number",538200455
"Cheshire","0900914160",2014,2015,2016,"Total Grand List","Number",2806848317
"Cheshire","0900914160",2016,2017,2017,"Net Grand List","Number",2763740629
"Cheshire","0900914160",2016,2017,2017,"Top 10 Total Grand List","Number",200076745
"Cheshire","0900914160",2016,2017,2017,"Total Grand List","Number",2836632816
"Chester","0900714300",2012,2013,2016,"Net Grand List","Number",502028248
"Chester","0900714300",2012,2013,2016,"Top 10 Total Grand List","Number",53981460
"Chester","0900714300",2012,2013,2016,"Total Grand List","Number",510791908
"Chester","0900714300",2016,2013,2017,"Net Grand List","Number",440262080
"Chester","0900714300",2016,2013,2017,"Top 10 Total Grand List","Number",43194070
"Chester","0900714300",2016,2013,2017,"Total Grand List","Number",453512896
"Clinton","0900715350",2013,2014,2016,"Net Grand List","Number",1506767491
"Clinton","0900715350",2013,2014,2016,"Top 10 Total Grand List","Number",104042988
"Clinton","0900715350",2013,2014,2016,"Total Grand List","Number",1515908291
"Clinton","0900715350",2013,2014,2017,"Net Grand List","Number",1506767491
"Clinton","0900715350",2013,2014,2017,"Top 10 Total Grand List","Number",104042988
"Clinton","0900715350",2013,2014,2017,"Total Grand List","Number",1515908291
"Colchester","0901115910",2009,2010,2016,"Net Grand List","Number",1275361503
"Colchester","0901115910",2009,2010,2016,"Top 10 Total Grand List","Number",55351730
"Colchester","0901115910",2009,2010,2016,"Total Grand List","Number",1283291579
"Colchester","0901115910",2009,2010,2017,"Net Grand List","Number",1275361503
"Colchester","0901115910",2009,2010,2017,"Top 10 Total Grand List","Number",55351730
"Colchester","0901115910",2009,2010,2017,"Total Grand List","Number",1283291579
"Colebrook","0900516050",2014,2015,2016,"Net Grand List","Number",184230233
"Colebrook","0900516050",2014,2015,2016,"Top 10 Total Grand List","Number",26641800
"Colebrook","0900516050",2014,2015,2016,"Total Grand List","Number",185483453
